gene_1,gene_2,score
ARF5,COPA,718
ARF5,ARF1,862
ARF5,CDKN2A,760
ARF5,AGAP1,702
M6PR,PLIN3,872
FKBP4,NR3C2,945
FKBP4,FKBP5,972
FKBP4,SERPINB2,712
FKBP4,HSPA8,942
FKBP4,FAP,983
FKBP4,HSF1,783
FKBP4,MTOR,961
FKBP4,AKT1,914
FKBP4,PTGES3,990
FKBP4,DNAJB1,957
FKBP4,PPID,937
FKBP4,HSP90AB1,999
FKBP4,HSPA4,998
FKBP4,CDC37,859
FKBP4,NR3C1,996
FKBP4,HSP90AA1,999
FKBP4,PGR,977
FKBP4,AHSA1,973
FKBP4,CLCA1,745
FKBP4,ASL,849
FKBP4,HSPA1B,771
FKBP4,ESR1,893
FKBP4,AR,928
FKBP4,CHUK,801
CYP26B1,CYP2C9,938
CYP26B1,CYP3A7,936
CYP26B1,CYP3A5,935
CYP26B1,CRABP1,750
CYP26B1,CYP2C8,940
CYP26B1,ALDH1A1,964
CYP26B1,CYP26A1,919
CYP26B1,CYP26C1,922
CYP26B1,CYP1A2,945
CYP26B1,CYP3A4,939
CYP26B1,CYP1A1,943
CYP26B1,AOX1,921
CYP26B1,CYP2C18,937
CYP26B1,CYP2A6,936
CYP26B1,UGT2B7,714
CYP26B1,CYP2B7P,936
CYP26B1,CYP4A11,926
CYP26B1,UGT2A1,702
CYP26B1,ALDH1A3,973
CYP26B1,ALDH1A2,988
CYP26B1,NOS2,956
CYP26B1,UGT1A6,706
CFTR,PRKACG,976
CFTR,CANX,936
CFTR,PRSS1,854
CFTR,SCNN1B,895
CFTR,SLC26A9,910
CFTR,HSPB1,780
CFTR,PRKAG3,901
CFTR,TJP1,964
CFTR,PRKACA,982
CFTR,SLC26A8,725
CFTR,PRSS2,707
CFTR,SLC26A3,888
CFTR,DNAJB1,825
CFTR,SLC12A2,816
CFTR,PRKAG1,922
CFTR,SCNN1G,886
CFTR,STAR,825
CFTR,PRKAB2,944
CFTR,HSPA8,986
CFTR,ABCG2,733
CFTR,GUCA2B,769
CFTR,AHSA1,867
CFTR,PRKAB1,908
CFTR,HSP90AA1,986
CFTR,KCNJ1,925
CFTR,GUCA2A,805
CFTR,FLNA,957
CFTR,PRKAG2,905
CFTR,YWHAG,914
CFTR,ANO1,882
CFTR,SCNN1A,821
CFTR,PRKAA1,953
CFTR,PRKACB,976
CFTR,HSPA4,925
CFTR,VCP,938
CFTR,HSP90AB1,964
CFTR,PRKAA2,907
CFTR,AMFR,734
CFTR,NEDD4L,764
CFTR,EZR,898
CFTR,KRT18,702
CFTR,ACTB,717
CFTR,HDAC6,848
CFTR,CLCA1,838
CFTR,SLC9A3,828
CYP51A1,DHCR24,992
CYP51A1,CYB5R3,782
CYP51A1,SIGMAR1,985
CYP51A1,MVK,782
CYP51A1,HSD3B1,846
CYP51A1,POR,960
CYP51A1,FDPS,886
CYP51A1,EGR2,755
CYP51A1,HSD3B7,844
CYP51A1,FDFT1,997
CYP51A1,HSD3B2,820
CYP51A1,SREBF1,772
CYP51A1,PGRMC1,867
CYP51A1,DHCR7,978
CYP51A1,HMGCS2,921
CYP51A1,CYB5A,764
CYP51A1,PPIG,891
CYP51A1,SQLE,998
CYP51A1,ACAT2,732
CYP51A1,HMGCR,948
HSPB6,TSG101,709
HSPB6,HSPB1,902
HSPB6,DNAJB1,776
HSPB6,HSP90AA1,783
HSPB6,HSP90AB1,783
HSPB6,HSPA4,842
HSPB6,SFN,916
HSPB6,YWHAG,830
HSPB6,HSPD1,799
PDK4,PDK2,795
PDK4,CPT1B,725
PDK4,VDAC1,829
PDK4,PPARD,702
PDK4,ITPR1,825
PDK4,PDHA1,881
PDK4,HSPA9,904
PDK4,PDHX,785
PDK4,INS,777
PDK4,PDK3,795
PDK4,SLC2A4,753
PDK4,PPARA,740
RALA,SCT,815
RALA,MAPK9,925
RALA,RHOA,930
RALA,PLD1,984
RALA,RASA1,988
RALA,RALBP1,999
RALA,AKT1,729
RALA,RGL4,895
RALA,ARF6,722
RALA,STAT4,755
RALA,MAPK8,926
RALA,CALM1,827
RALA,RAC2,932
RALA,KRAS,759
RALA,HRAS,831
RALA,SLC2A4,788
RALA,RAF1,849
RALA,SRC,874
RALA,PLD2,974
RALA,FLNA,930
CACNG3,CACNB2,779
CACNG3,GRIA4,869
CACNG3,CACNG7,939
CACNG3,CACNA2D1,978
CACNG3,CACNA1F,927
CACNG3,GRIN1,830
CACNG3,RYR1,733
CACNG3,CACNA1S,916
CACNG3,CACNG1,974
CACNG3,CACNA1D,957
CACNG3,GRIA3,852
CACNG3,GRIA1,867
CACNG3,CACNA1C,910
CACNG3,CACNB4,958
CACNG3,HTR3A,737
CACNG3,GRIN2C,788
CACNG3,CACNG5,814
CACNG3,CAMK2B,766
CACNG3,GRIN3A,794
CACNG3,CACNG8,913
CACNG3,CACNG4,905
CACNG3,GRIN3B,769
CACNG3,FKBP1A,728
CACNG3,CAMK2A,805
CACNG3,HPCA,815
CACNG3,CACNA2D4,915
CACNG3,CACNB1,912
CACNG3,GRIA2,923
CACNG3,GRIN2D,748
CACNG3,CACNG6,908
CACNG3,CACNA1H,818
CACNG3,CACNB3,938
CACNG3,GRIN2A,794
CACNG3,GRIN2B,800
CACNG3,CACNG2,756
DVL2,GNAQ,911
DVL2,NOTCH3,930
DVL2,AP2M1,721
DVL2,FZD3,882
DVL2,FZD5,964
DVL2,WWOX,898
DVL2,CSNK2A3,906
DVL2,CTNNB1,930
DVL2,DVL1,991
DVL2,NOTCH1,931
DVL2,RHOA,717
DVL2,ARRB2,981
DVL2,FZD4,985
DVL2,FZD7,964
DVL2,FZD2,956
DVL2,NOTCH2,926
DVL2,CSNK2A2,918
DVL2,CSNK1D,875
DVL2,FZD8,937
DVL2,AMOT,708
DVL2,SQSTM1,779
DVL2,APC,964
DVL2,FZD1,928
DVL2,LRRK2,739
DVL2,CSNK1A1,723
DVL2,GSK3B,976
DVL2,VHL,757
DVL2,CSNK2A1,943
DVL2,SENP2,906
DVL2,CSNK1E,967
DVL2,PLK1,914
DVL2,ARRB1,929
DVL2,NOTCH4,914
DVL2,FZD6,933
DVL2,INVS,942
DVL2,ADAR,750
DVL2,WNT5B,746
HOXA11,PAX2,763
HOXA11,HOXA13,757
HOXA11,FOXO1,853
HOXA11,PRL,703
CX3CL1,SCYL1,749
CX3CL1,ADAM17,769
CX3CL1,CCL25,768
CX3CL1,CCL11,992
CX3CL1,CXCL12,893
CX3CL1,CXCL8,845
CX3CL1,IL10,815
CX3CL1,CCR5,977
CX3CL1,CSF2,953
CX3CL1,IFNG,923
CX3CL1,CCL21,931
CX3CL1,CXCL1,939
CX3CL1,CCL5,971
CX3CL1,CSF3,942
CX3CL1,CD8A,704
CX3CL1,CXCL13,860
CX3CL1,FGF2,968
CX3CL1,GNA11,807
CX3CL1,CCL17,856
CX3CL1,GNAI1,800
CX3CL1,TGFA,710
CX3CL1,CCL20,920
CX3CL1,ADAM10,823
CX3CL1,CSF1R,711
CX3CL1,LAP3,995
CX3CL1,CD40LG,718
CX3CL1,IL1B,839
CX3CL1,TNF,814
CX3CL1,CCR10,785
CX3CL1,CXCR1,994
CX3CL1,CX3CR1,999
CX3CL1,IL7,702
CX3CL1,CCR3,930
CX3CL1,HCRTR2,971
CX3CL1,CCR2,997
CX3CL1,IL1A,829
CX3CL1,CCL7,870
CX3CL1,CD200,834
CX3CL1,CCR1,905
CX3CL1,IL2,743
CX3CL1,CXCR3,990
CX3CL1,ICAM1,725
CX3CL1,XCR1,850
CX3CL1,CCL3,733
CX3CL1,CCL2,831
CX3CL1,ITGAM,729
CX3CL1,CCL1,866
CX3CL1,CCL4,904
CX3CL1,CXCR2,915
CX3CL1,CCR9,832
CX3CL1,CXCR5,787
CX3CL1,CCR6,885
CX3CL1,IL4,780
CX3CL1,IL6,735
CX3CL1,CXCL2,798
CX3CL1,EGF,961
CX3CL1,IFNA2,825
CX3CL1,CXCL10,948
CX3CL1,CCL22,878
CRY1,PRKAG3,918
CRY1,BTRC,871
CRY1,RORC,871
CRY1,BHLHE40,969
CRY1,CRY2,999
CRY1,ABCC2,807
CRY1,CLOCK,999
CRY1,NR1D1,976
CRY1,PRKAB2,923
CRY1,CSNK1D,993
CRY1,PRKAG1,913
CRY1,BMAL1,999
CRY1,PRKAA1,923
CRY1,CSNK1E,961
CRY1,NR3C1,914
CRY1,PRKAG2,908
CRY1,FOXO1,778
CRY1,PER1,998
CRY1,PRKAB1,920
CRY1,RORA,935
CRY1,PRKAA2,923
CRY1,VIPR2,743
CD74,RPL30,980
CD74,RPS17,978
CD74,ROS1,776
CD74,MRPL36,971
CD74,HLA-DPB1,982
CD74,RPL4,982
CD74,RPS4X,869
CD74,RPS7,980
CD74,RPLP1,940
CD74,HLA-DQB1,997
CD74,HLA-F,845
CD74,RPS5,981
CD74,RPS28,980
CD74,RPS25,978
CD74,LAP3,994
CD74,CD44,999
CD74,RPL10A,935
CD74,HLA-DQA1,992
CD74,RPL8,980
CD74,RPS20,981
CD74,CTSS,981
CD74,RPL23A,981
CD74,RPL23,935
CD74,RPS8,979
CD74,PDF,763
CD74,RPS15,981
CD74,RPS2,981
CD74,RPL24,975
CD74,RPL37A,972
CD74,RPS6,978
CD74,RPL26,937
CD74,EIF5,840
CD74,RPS24,981
CD74,RPL11,981
CD74,RPS12,888
CD74,ISG15,714
CD74,EEF1B2,717
CD74,RPS21,979
CD74,RPL9P8,980
CD74,RPL18,977
CD74,HLA-DMA,994
CD74,RPL7,936
CD74,ITGB2,721
CD74,RPL13,976
CD74,MIF,999
CD74,RPL6,980
CD74,RPL36,981
CD74,RPL27A,978
CD74,RPS10,935
CD74,HLA-DRB1,995
CD74,RPL7A,974
CD74,RPS19,985
CD74,POLR1A,802
CD74,RPL15,977
CD74,RPL35,980
CD74,RPSA,981
CD74,RPL19,978
CD74,RPS16,981
CD74,RPL5,982
CD74,RPL34,979
CD74,RPS18,982
CD74,BYSL,837
CD74,RPL10,930
CD74,ATP5F1C,839
CD74,CXCR2,994
CD74,RPL12,977
CD74,CTSB,954
CD74,RPS15A,853
CD74,RRP7A,778
CD74,CCL5,713
CD74,RPS9,982
CD74,ATP5F1A,865
CD74,RPL38,981
CD74,RPL39,931
CD74,RPL13A,943
CD74,RPL17,935
CD74,EPRS1,845
CD74,APP,985
CD74,RPS23,979
CD74,HLA-DMB,982
CD74,NPSR1,852
CD74,FAU,997
CD74,RPL36A,839
CD74,RPL22,905
CD74,RPL29,979
CD74,RPL27,979
CD74,TPT1,851
CD74,RPLP0,983
CD74,RPL32,979
CD74,RPS27A,974
CD74,HLA-DOB,975
CD74,EIF5A,766
CD74,RPS3A,980
CD74,HLA-DRB5,986
CD74,CTSL,993
CD74,RPS13,980
CD74,HLA-E,764
CD74,RPS3,983
CD74,B2M,808
CD74,POLR3A,808
CD74,RPS4Y1,864
CD74,HLA-B,800
CD74,HLA-C,815
CD74,RPS11,981
CD74,RPL28,977
CD74,RPS27,937
CD74,RPL3,937
CD74,RPL31,978
CD74,RPL37,975
CD74,RPL35A,975
CD74,RPS26,980
CD74,HLA-A,807
CD74,RPL18A,973
CD74,EEF2,945
CD74,HLA-DRA,999
CD74,RPL21,979
CD74,RPL14,981
CD74,EIF2S1,868
CD74,MRPL47,767
CD74,RPS29,980
CD4,FAS,840
CD4,LCK,999
CD4,IL21R,781
CD4,HLA-DMB,941
CD4,KLRC1,839
CD4,IL5,930
CD4,STAT4,832
CD4,IFNGR1,739
CD4,PDCD1LG2,945
CD4,IFNB1,845
CD4,IL1R1,743
CD4,SIRPA,724
CD4,IDO2,826
CD4,SELE,756
CD4,AKT1,839
CD4,FCGR2B,842
CD4,ENPEP,994
CD4,PTPN11,783
CD4,B3GAT1,796
CD4,HLA-DRB5,945
CD4,CD2,996
CD4,TFRC,880
CD4,TNFSF11,726
CD4,HLA-DOB,938
CD4,MMP9,701
CD4,CXCL12,825
CD4,PRF1,940
CD4,TNFRSF1A,797
CD4,TLR9,868
CD4,TNFSF4,721
CD4,CD276,877
CD4,PIP,877
CD4,HLA-DPB1,977
CD4,CD19,936
CD4,B2M,755
CD4,HLA-E,785
CD4,CCR5,999
CD4,IL10,976
CD4,CXCL8,861
CD4,CD274,938
CD4,CD34,886
CD4,CD33,869
CD4,BCL6,799
CD4,FCGR3A,964
CD4,IFNG,991
CD4,CSF2,880
CD4,LAT,737
CD4,CCL21,881
CD4,CR2,798
CD4,CD22,836
CD4,DNTT,726
CD4,TNFRSF18,871
CD4,CD163,806
CD4,CCL5,887
CD4,CXCL1,735
CD4,MAPK3,710
CD4,CSF3,734
CD4,CD80,958
CD4,NRP1,725
CD4,LAMP1,775
CD4,CD8A,999
CD4,MADCAM1,801
CD4,ERVW-1,996
CD4,CCR9,734
CD4,CCND1,781
CD4,SLK,980
CD4,CXCL13,818
CD4,SDC1,727
CD4,CD1A,889
CD4,TNFRSF10A,832
CD4,GAD2,784
CD4,VCAM1,724
CD4,ITK,887
CD4,IL33,729
CD4,STAT5B,833
CD4,CD247,989
CD4,ALB,817
CD4,CD38,932
CD4,CCL17,718
CD4,ENO1,752
CD4,CD3G,985
CD4,CD40,924
CD4,ACE2,788
CD4,PLCG1,737
CD4,KLRK1,780
CD4,HLA-A,864
CD4,CTNNB1,700
CD4,GZMB,936
CD4,HLA-DRA,997
CD4,DPP4,774
CD4,CCR6,878
CD4,ITGAL,859
CD4,BST2,788
CD4,CRP,790
CD4,TNFRSF4,872
CD4,FASLG,868
CD4,STAT6,862
CD4,IL10RA,708
CD4,IL22,913
CD4,NFATC2,714
CD4,IL2RA,936
CD4,CCL20,731
CD4,GPT,720
CD4,TLR8,754
CD4,RORC,801
CD4,CD28,971
CD4,ANXA5,807
CD4,IL7R,960
CD4,HLA-C,857
CD4,HLA-B,890
CD4,PTPN6,704
CD4,ICAM3,707
CD4,CD1D,911
CD4,JAK3,738
CD4,IFNA13,887
CD4,KCNN3,721
CD4,HAVCR2,833
CD4,KIT,778
CD4,TGFB2,702
CD4,IL2RG,884
CD4,IL23R,804
CD4,IL17RA,779
CD4,BTRC,947
CD4,CD82,968
CD4,TLR3,786
CD4,CD6,811
CD4,TIGIT,757
CD4,LYN,700
CD4,FCGR3B,959
CD4,TLR4,902
CD4,FCGR1A,902
CD4,LAG3,914
CD4,CD8B2,921
CD4,ITGB7,728
CD4,CSF1R,755
CD4,VAV1,735
CD4,AOC3,877
CD4,PTPRC,981
CD4,JAK1,740
CD4,MYD88,850
CD4,NCAM1,883
CD4,ICOS,929
CD4,ICOSLG,717
CD4,ITGAX,949
CD4,HLA-DQA1,961
CD4,CD44,950
CD4,CD40LG,983
CD4,LAP3,999
CD4,TNF,968
CD4,IL1B,958
CD4,CD7,901
CD4,THBS1,817
CD4,BCL2L1,746
CD4,PXN,743
CD4,CCR10,726
CD4,PDCD1,960
CD4,CD79A,753
CD4,IL3RA,887
CD4,CX3CR1,770
CD4,CD3E,991
CD4,NT5E,736
CD4,IL7,909
CD4,CD86,958
CD4,MBP,773
CD4,STAT1,891
CD4,CCR3,832
CD4,THY1,753
CD4,SYK,981
CD4,TNFRSF8,776
CD4,CCR4,736
CD4,CCR2,909
CD4,CD36,739
CD4,CTLA4,955
CD4,CD69,948
CD4,IL18,849
CD4,IL1A,876
CD4,CD3D,982
CD4,CD9,829
CD4,CD68,898
CD4,GAPDH,759
CD4,CASP3,772
CD4,LY75,732
CD4,NFKB1,858
CD4,CCR1,708
CD4,ACTB,777
CD4,IL2,975
CD4,TNFRSF9,851
CD4,TNFSF13B,714
CD4,PTK2B,736
CD4,PECAM1,746
CD4,CXCR3,864
CD4,BCL2,837
CD4,ADORA2A,709
CD4,ICAM1,969
CD4,RBX1,914
CD4,INS,829
CD4,IL9,767
CD4,SI,782
CD4,CASP1,715
CD4,IL17F,870
CD4,IDO1,875
CD4,SELL,931
CD4,GZMA,758
CD4,IL12RB2,760
CD4,PTPN22,793
CD4,IL4R,780
CD4,IL13,931
CD4,ITGA4,740
CD4,HLA-DQB1,951
CD4,STAT5A,843
CD4,TRAT1,942
CD4,CD8B,980
CD4,LTA,777
CD4,IL2RB,875
CD4,FOXP3,979
CD4,CCL2,839
CD4,CCL3,880
CD4,TLR2,814
CD4,GATA3,899
CD4,ITGAM,943
CD4,APOBEC3G,767
CD4,TBX21,947
CD4,IL21,716
CD4,ERV3-1,764
CD4,IFNA17,756
CD4,PLAT,942
CD4,MPO,700
CD4,SOCS3,712
CD4,GYPB,716
CD4,IL15,917
CD4,FNZ,916
CD4,CCL4,939
CD4,CD5,997
CD4,CXCR5,909
CD4,TGFB1,870
CD4,TSLP,718
CD4,KLRD1,790
CD4,LGALS9,728
CD4,CD83,754
CD4,CTAG1B,787
CD4,SLAMF1,791
CD4,PTK2,859
CD4,ZAP70,995
CD4,FCGR2A,837
CD4,IL6,966
CD4,DEFA1,843
CD4,IL4,970
CD4,HLA-DMA,960
CD4,ARG1,761
CD4,SELP,782
CD4,IGH,701
CD4,IL12RB1,765
CD4,MME,816
CD4,HSPA4,712
CD4,IFNA2,788
CD4,TLR7,834
CD4,FUT4,807
CD4,SRC,728
CD4,ITGB2,834
CD4,HLA-DRB1,994
CD4,EOMES,722
CD4,CXCL10,839
CD4,TP53,703
CD4,CCL22,720
CD4,IL17A,972
CD4,CD27,931
CD4,APOE,701
CD4,STAT3,892
CD4,ANPEP,762
PPP5C,USP5,764
PPP5C,MAP3K5,970
PPP5C,PTGES3,985
PPP5C,ARAF,702
PPP5C,BRAF,979
PPP5C,CCT3,911
PPP5C,HSF1,745
PPP5C,HSPA8,724
PPP5C,HSP90AA1,997
PPP5C,CDC37,995
PPP5C,HSPA4,801
PPP5C,HSP90AB1,997
PPP5C,TSC1,958
MAP4K5,CRKL,820
MAP4K5,CRK,895
MAP4K5,GRB2,926
ERCC1,UBE2T,702
ERCC1,MAG,996
ERCC1,RAD52,974
ERCC1,ERCC8,977
ERCC1,PARP2,721
ERCC1,ATR,739
ERCC1,KDM1A,907
ERCC1,WRN,855
ERCC1,FANCC,886
ERCC1,GTF2H1,894
ERCC1,XRCC4,962
ERCC1,TYMS,720
ERCC1,LIG1,891
ERCC1,ERCC5,997
ERCC1,XPC,994
ERCC1,RAD51,908
ERCC1,DNA2,752
ERCC1,MSH2,992
ERCC1,ERCC4,999
ERCC1,XPA,999
ERCC1,XRCC5,982
ERCC1,CDK7,789
ERCC1,ERCC3,994
ERCC1,XRCC1,967
ERCC1,MSH3,950
ERCC1,MLH1,873
ERCC1,MSH6,974
ERCC1,FEN1,946
ERCC1,PALB2,757
ERCC1,POLD1,953
ERCC1,BRCA2,877
ERCC1,PMS2,838
ERCC1,POLR1G,827
ERCC1,USP1,714
ERCC1,REV3L,712
ERCC1,ATM,975
ERCC1,DDB1,893
ERCC1,CHEK2,739
ERCC1,PRKDC,958
ERCC1,ERCC6,926
ERCC1,OGG1,781
ERCC1,PARP1,869
ERCC1,FANCG,866
ERCC1,XRCC3,860
ERCC1,FANCD2,951
ERCC1,EXO1,848
ERCC1,BLM,701
ERCC1,APEX1,774
ERCC1,RRM1,782
ERCC1,BRCA1,930
ERCC1,FANCA,842
XYLT2,GRB2,918
XYLT2,EXTL3,721
XYLT2,ABCC6,701
SCTR,GCG,848
SCTR,GNAS,993
SCTR,VIP,964
SCTR,PTH,776
SCTR,SCT,999
SCTR,AQP2,738
SCTR,ADCYAP1,906
CDH17,CTNND2,991
CDH17,PTPN1,876
CDH17,ARVCF,714
CDH17,PECAM1,995
CDH17,HNF4A,747
CDH17,FNZ,804
CDH17,PIK3CD,774
CDH17,CDH2,708
CDH17,OCLN,949
CDH17,SRC,787
CDH17,ARHGAP35,714
CDH17,DSP,927
CDH17,KDR,991
CDH17,PSEN1,925
CDH17,CDH1,702
CDH17,EGF,763
CDH17,APC,708
CDH17,EGFR,820
CDH17,MMP9,735
CDH17,ASIP,710
CDH17,CTNND1,999
CDH17,CTNNA2,927
CDH17,CDH3,707
CDH17,GRIA2,738
CDH17,CTNNA3,803
CDH17,CTNNA1,983
CDH17,PTPRM,728
CDH17,CDH5,840
CDH17,CTNNB1,999
CDH17,CDC42,777
CDH17,TJP1,950
CDH17,ERBB2,740
OTC,ARG1,993
OTC,ARG2,993
OTC,NAGS,977
OTC,GBE1,984
OTC,NOS1,923
OTC,PGM1,870
OTC,AUH,874
OTC,NOS2,922
OTC,PYGM,836
OTC,GYS2,723
OTC,PYGB,836
OTC,PYGL,840
OTC,NOS3,923
OTC,ASS1,999
OTC,OAT,989
OTC,CPS1,998
OTC,ASL,963
HOXC8,PRL,730
HOXC8,HOXC6,840
TARBP1,EEF1A1,798
TARBP1,METTL1,718
PSMA4,PSME2,990
PSMA4,PSMD8,999
PSMA4,PSMC6,999
PSMA4,NFKBIA,772
PSMA4,PSMB3,999
PSMA4,PSMA3,999
PSMA4,PSMC1,999
PSMA4,PSMB8,999
PSMA4,PSMD14,999
PSMA4,PSMB9,999
PSMA4,PSMD1,999
PSMA4,PSMB2,999
PSMA4,NEDD8,765
PSMA4,CHRNA3,939
PSMA4,CSF3,836
PSMA4,PSMA5,999
PSMA4,CHRNB4,938
PSMA4,PSMD2,999
PSMA4,PSMA8,995
PSMA4,PSMD7,999
PSMA4,PSMB1,999
PSMA4,PSMD13,998
PSMA4,PSMD5,740
PSMA4,PSMA6,999
PSMA4,CHRNA5,946
PSMA4,RPS27A,978
PSMA4,PSMD12,999
PSMA4,PSMA1,999
PSMA4,EEF1B2,741
PSMA4,PSME3,887
PSMA4,VCP,821
PSMA4,PSMB6,999
PSMA4,PSME1,992
PSMA4,ADRM1,978
PSMA4,HIF1A,734
PSMA4,PSMB4,999
PSMA4,PSMB5,999
PSMA4,PSMD6,999
PSMA4,PSMB7,999
PSMA4,PSMB11,880
PSMA4,PSMF1,982
PSMA4,HYKK,889
PSMA4,PSMB10,995
PSMA4,PSMD3,998
PSMA4,PSMA2,999
PSMA4,PSMD4,999
PSMA4,RBX1,716
PSMA4,SOD1,745
PSMA4,PSMC2,999
PSMA4,PSMA7,999
PSMA4,PSMC3,999
PSMA4,PSMC4,999
PSMA4,PSMC5,999
PSMA4,PSME4,992
PSMA4,PSMD11,999
DCN,THBS2,720
DCN,MMP14,859
DCN,FGF2,834
DCN,LRP1,839
DCN,FGF7,954
DCN,ERBB2,958
DCN,COL6A1,824
DCN,TLR4,988
DCN,MMP2,866
DCN,PDGFRA,826
DCN,TGFB2,890
DCN,POSTN,758
DCN,VCAN,981
DCN,MMP9,713
DCN,FBN1,912
DCN,EGFR,999
DCN,IBSP,722
DCN,HGF,837
DCN,SDC1,935
DCN,MMP3,765
DCN,FGF22,940
DCN,LUM,978
DCN,ERBB4,922
DCN,MMP7,772
DCN,CSPG4,773
DCN,BGLAP,731
DCN,TGFB1,999
DCN,CCN2,939
DCN,FNZ,996
DCN,COMP,830
DCN,SPARC,905
DCN,MSTN,887
DCN,FGF18,937
DCN,BGN,989
DCN,TLR2,990
DCN,SPP1,768
DCN,FGF6,936
DCN,KDR,931
DCN,COL1A2,930
DCN,EGF,917
DCN,DPT,850
DCN,FGF3,936
DCN,YBX1,989
DCN,MET,986
DCN,COL3A1,935
DCN,SDC2,712
DCN,ERBB3,913
DCN,TNF,900
DCN,THBS1,854
DCN,FGF4,936
DCN,ELN,993
DCN,FMOD,938
DCN,P3H3,964
DCN,COL1A1,923
DCN,HSPG2,986
DCN,TGFB3,961
DCN,IGF1,989
TNFRSF17,CD70,721
TNFRSF17,TNFSF13,997
TNFRSF17,CD19,765
TNFRSF17,CD40LG,893
TNFRSF17,TNFRSF13B,975
TNFRSF17,CD79A,793
TNFRSF17,TNFSF13B,999
TNFRSF17,CD38,773
TNFRSF17,CD40,813
TNFRSF17,CD27,825
TNFRSF17,TNFRSF13C,944
GUCA1A,CNGB1,709
GUCA1A,CNGA1,758
GUCA1A,GUCY2D,999
GRN,VCP,762
GRN,C9orf72,887
GRN,TARDBP,958
GRN,HSPG2,907
GRN,MAPT,885
GRN,SLPI,934
GRN,CTSD,866
GRN,FUS,700
GRN,POLE2,797
GRN,TNFRSF1A,803
GRN,TNFRSF1B,783
CLDN11,TJP1,981
CLDN11,OCLN,958
CLDN11,PMP22,856
CLDN11,CLDN3,818
SLC2A3,HK1,737
SLC2A3,LDHA,730
SLC2A3,SLC16A3,730
SLC2A3,MECP2,781
SLC2A3,CREB1,817
SLC2A3,HIF1A,736
SLC2A3,PFKFB3,736
GNA11,RGS2,846
GNA11,GRPR,800
GNA11,SRC,713
GNA11,CHRM5,902
GNA11,GRM5,907
GNA11,ADRA1D,961
GNA11,HTR2C,915
GNA11,BAP1,802
GNA11,GNG10,773
GNA11,EDNRA,960
GNA11,GNG7,727
GNA11,HRH1,722
GNA11,PTH1R,936
GNA11,CASR,977
GNA11,AVPR1A,917
GNA11,GNA12,724
GNA11,ADRA2A,914
GNA11,HTR2B,925
GNA11,ADRA1B,927
GNA11,S1PR4,739
GNA11,FFAR1,913
GNA11,HRAS,846
GNA11,EDNRB,971
GNA11,GHSR,943
GNA11,ADRA1A,969
GNA11,AVPR1B,909
GNA11,PLCG2,906
GNA11,PIK3CA,797
GNA11,LAP3,921
GNA11,TBXA2R,862
GNA11,F2R,706
GNA11,HTR2A,920
GNA11,KIT,806
GNA11,CHRM1,920
GNA11,CCKAR,921
GNA11,GNRHR,922
GNA11,GNAQ,973
GNA11,CHRM3,908
GNA11,ADRA2C,914
GNA11,PIK3R1,766
GNA11,GNG11,700
GNA11,AGTR1,942
GNA11,PLCG1,936
GNA11,GRM1,921
GNA11,GRK2,825
GNA11,NRAS,793
GNA11,PLCB1,973
GNA11,KISS1R,913
GNA11,GNGT1,768
GNA11,BDKRB2,925
GNA11,BRAF,805
GNA11,CCR5,942
GNA11,GNAS,702
GNA11,GNB3,813
GNA11,ADRA2B,910
GNA11,GNG4,769
GNA11,OXTR,714
GNA11,CYSLTR1,711
HDAC7,H2BC5,735
HDAC7,RUNX2,719
HDAC7,CHD4,785
HDAC7,SIRT1,802
HDAC7,ESR1,707
HDAC7,KAT2B,764
HDAC7,HDAC3,804
HDAC7,UBE2I,792
HDAC7,H2AX,715
HDAC7,KAT5,980
HDAC7,EZH2,713
HDAC7,EP300,940
HDAC7,HDAC1,886
HDAC7,FOXP3,953
HDAC7,HIF1A,927
HDAC7,TRAC,930
HDAC7,BCL6,762
HDAC7,KAT2A,761
HDAC7,H2AZ1,739
HDAC7,EGFR,711
HDAC7,PML,775
HDAC7,NR2E1,785
HDAC7,HDAC2,836
HDAC7,FOXA1,976
HDAC7,CTNNB1,777
HDAC7,CREBBP,712
CD22,DNTT,777
CD22,CR2,894
CD22,FCGR3A,726
CD22,CD38,787
CD22,GALR2,782
CD22,CD37,710
CD22,CD19,992
CD22,CD2,833
CD22,GPR42,839
CD22,CD79B,960
CD22,PTPN6,997
CD22,ITGAX,762
CD22,BLK,734
CD22,FCGR3B,714
CD22,LYN,970
CD22,PTPRC,999
CD22,MS4A2,928
CD22,FFAR1,797
CD22,GALR1,778
CD22,GRB2,783
CD22,BCL2,734
CD22,CD79A,985
CD22,PAX5,796
CD22,CD7,752
CD22,CD40LG,727
CD22,SYK,959
CD22,HCRTR2,935
CD22,TNFRSF8,716
CD22,CD69,726
CD22,BTK,709
CD22,CD72,888
CD22,MME,841
CD22,ITGAM,743
CD22,CD5,903
CD22,CXCR5,717
CD22,FFAR2,781
CD22,GAL,762
KCNQ1,TCF7L2,714
KCNQ1,SLC30A8,755
KCNQ1,ADCY3,913
KCNQ1,NEDD4L,848
KCNQ1,M6PR,782
KCNQ1,KCNE2,999
KCNQ1,KCNJ12,954
KCNQ1,IGF2,822
KCNQ1,SCN5A,973
KCNQ1,RYR2,727
KCNQ1,PRKACB,959
KCNQ1,CACNA1C,791
